artist_name,album_name,album_type,release_date,total_tracks,album_uri,name,duration_ms,explicit,track_number,popularity,valence,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo,time_signature,track_uri
NCT 127,NCT #127 WE ARE SUPERHUMAN - The 4th Mini Album,album,2019-05-24,6,spotify:album:3Xv60ja2pLxH3Wk0x0JIWT,fool,161240,False,3,46,0.95,0.774,0.772,10,-6.59,1,0.061,0.0341,4.34e-05,0.0398,114.916,4,spotify:track:7GfBzU8xvxEEu4K1x06z4Z
NCT 127,NCT #127 WE ARE SUPERHUMAN - The 4th Mini Album,album,2019-05-24,6,spotify:album:3Xv60ja2pLxH3Wk0x0JIWT,jet lag,195906,False,4,43,0.487,0.391,0.552,8,-6.697,1,0.0937,0.504,0.0,0.212,190.763,4,spotify:track:1U0gJQyrJE4h3EWyHeJ2UK
NCT 127,NCT #127 WE ARE SUPERHUMAN - The 4th Mini Album,album,2019-05-24,6,spotify:album:3Xv60ja2pLxH3Wk0x0JIWT,paper plane,224013,False,5,35,0.786,0.667,0.665,7,-7.627,1,0.057,0.0264,4.12e-06,0.18,120.04,4,spotify:track:1nLXkN8dngZTzhEsxGpBVd
NCT 127,NCT #127 WE ARE SUPERHUMAN - The 4th Mini Album,album,2019-05-24,6,spotify:album:3Xv60ja2pLxH3Wk0x0JIWT,outro: we are 127,87320,False,6,30,0.51,0.59,0.563,11,-12.253,0,0.463,0.0749,0.174,0.251,75.128,4,spotify:track:7FNCi3ROV00ASOPIvYN34t
NCT 127,Awaken,album,2019-04-17,12,spotify:album:1eneZzXf46fUJPBeOgjSx8,lips,185798,False,1,24,0.381,0.853,0.723,7,-5.79,1,0.0622,0.0166,0.0,0.0908,101.035,4,spotify:track:6hhhHpEscqlIVyDWncbqUl
NCT 127,Awaken,album,2019-04-17,12,spotify:album:1eneZzXf46fUJPBeOgjSx8,wakey-wakey,182385,False,2,27,0.629,0.71,0.743,10,-4.877,0,0.0494,0.0529,0.0,0.293,140.057,4,spotify:track:304px13jll5AIVxIU0IzuO
NCT 127,Awaken,album,2019-04-17,12,spotify:album:1eneZzXf46fUJPBeOgjSx8,blow my mind,227598,False,6,22,0.461,0.841,0.759,6,-4.075,0,0.0405,0.067,0.0,0.179,108.011,4,spotify:track:78x0lbRvf907dicKMHbN4F
NCT 127,Awaken,album,2019-04-17,12,spotify:album:1eneZzXf46fUJPBeOgjSx8,limitless - japanese version,247745,False,7,16,0.468,0.616,0.78,7,-5.825,0,0.124,0.00851,0.0,0.037,156.886,4,spotify:track:1UPouauOU3RdBWFvDtKe3c
NCT 127,Awaken,album,2019-04-17,12,spotify:album:1eneZzXf46fUJPBeOgjSx8,long slow distance,264945,False,8,29,0.214,0.537,0.446,0,-6.572,1,0.0277,0.398,0.0,0.122,131.96,4,spotify:track:4JYsIvlneP0nl9dGCDZtAp
NCT 127,Awaken,album,2019-04-17,12,spotify:album:1eneZzXf46fUJPBeOgjSx8,kitchen beat,209398,False,9,20,0.56,0.763,0.885,1,-5.153,1,0.226,0.0146,0.0,0.134,108.689,3,spotify:track:37Jpl6R1ypHrmZguMPXa62
